index,row,col
44,"[[1, 1], [1], [5], [3, 1], [3]]","[[4], [3], [3], [1, 1], [1, 2]]"
45,"[[2], [1, 1], [1], [1, 2], [2, 2]]","[[1], [2], [1], [1, 3], [2, 2]]"
46,"[[1, 1], [3, 1], [4], [1, 2], [4]]","[[4], [3, 1], [4], [3], [2]]"
47,"[[2, 1], [1], [1, 1], [3], [4]]","[[1, 1], [2, 2], [1, 3], [2], [1]]"
48,"[[1, 1], [1, 1], [3], [2, 1], [2]]","[[2, 2], [2], [3], [2], [1]]"
49,"[[3, 1], [1, 1], [3], [1, 1, 1], [1]]","[[2, 1], [1], [1, 3], [2], [1, 2]]"
50,"[[1, 1], [1], [1, 3], [2], [1]]","[[2], [2], [1, 1], [1], [3]]"
51,"[[2, 1], [2], [1, 1], [1], [3]]","[[1, 1, 1], [1, 1], [1], [2], [2, 1]]"
52,"[[2], [1, 3], [1, 2], [1, 1, 1], [1, 3]]","[[4], [1], [5], [2, 1], [1, 2]]"
53,"[[1, 3], [3], [3, 1], [1], [1, 2]]","[[1, 1], [2, 1], [4], [2, 1], [1, 1, 1]]"
54,"[[2, 1], [1, 2], [1, 3], [1, 2], [1, 1]]","[[3, 1], [1, 1], [2, 1], [3], [1, 2]]"
55,"[[2], [1], [1, 1, 1], [3], [2, 1]]","[[1], [1], [3], [1, 1], [5]]"
56,"[[4], [1, 1], [1, 2], [4], [2, 1]]","[[1, 2], [1, 3], [2, 1], [1, 3], [1, 1]]"
57,"[[3], [1, 1], [1], [5], [3]]","[[1], [1], [2, 2], [1, 2], [5]]"
58,"[[2, 2], [1], [1, 1], [1, 2], [0]]","[[1, 2], [1], [1], [1, 1], [3]]"
59,"[[1], [4], [2], [1, 1, 1], [1]]","[[1, 2], [2], [4], [1], [1]]"
60,"[[2], [1, 2], [2], [1, 1], [1, 1]]","[[2, 1], [1, 1, 1], [1], [1, 2], [1]]"
61,"[[2, 1], [2, 1], [1], [1, 1], [1, 1]]","[[2], [2, 1], [1], [3, 1], [1]]"
62,"[[4], [3], [1], [2, 1], [3]]","[[2, 1], [5], [2, 2], [1], [1]]"
63,"[[4], [3], [4], [1], [2]]","[[1, 1], [3, 1], [3, 1], [1, 1], [1, 1]]"
64,"[[2], [1, 2], [1, 1], [1, 2], [1, 1, 1]]","[[4], [0], [1, 1], [2, 1], [1, 3]]"
65,"[[0], [3], [2], [1], [2]]","[[0], [1], [1, 2], [2], [2]]"
66,"[[1], [1, 1], [3], [1, 1], [1, 1]]","[[3, 1], [1], [3], [0], [2]]"
67,"[[1, 2], [1, 1], [4], [2], [2]]","[[2], [1, 1], [3], [1, 3], [2]]"
68,"[[1], [1, 1], [0], [1, 3], [2]]","[[1], [1], [1, 2], [1], [2, 1]]"
69,"[[0], [1, 2], [1, 2], [1], [3]]","[[2], [1, 1], [1, 1], [2, 1], [1]]"
70,"[[3], [3, 1], [2], [3], [1]]","[[3], [4], [2, 1], [1, 1], [1]]"
71,"[[1, 1], [3], [1, 1], [1], [3]]","[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1, 1]]"
72,"[[3], [1, 1], [4], [1], [1, 1]]","[[1, 1], [1], [1, 1], [3, 1], [1, 2]]"
73,"[[3], [1, 3], [1, 1], [3, 1], [1, 3]]","[[1, 2], [1, 2], [2, 2], [2, 1], [4]]"
74,"[[4], [1, 2], [0], [1], [2, 1]]","[[2, 2], [1, 1], [1], [2], [1, 1]]"
75,"[[4], [3, 1], [1], [5], [2, 1]]","[[4], [2, 2], [2, 2], [1, 1], [1, 2]]"
76,"[[2, 2], [2], [2], [1, 1], [1, 2]]","[[1, 3], [3], [1], [1, 1], [1, 2]]"
77,"[[1, 2], [3], [1, 3], [2], [4]]","[[1, 1, 1], [1, 1], [3, 1], [5], [2]]"
78,"[[2], [3], [2], [1, 2], [2]]","[[1], [2, 1], [2], [4], [2]]"
79,"[[2, 1], [1, 1], [2, 2], [2, 1], [1, 2]]","[[5], [1, 2], [0], [4], [1, 1, 1]]"
80,"[[2], [1, 1, 1], [5], [1], [2]]","[[2], [1, 1], [3], [1, 1], [4]]"
81,"[[3, 1], [2], [1], [2, 1], [1, 3]]","[[2, 2], [2, 1], [1, 1], [1, 1], [1, 2]]"
82,"[[1, 1], [3, 1], [1, 2], [4], [1, 1]]","[[3], [2, 2], [3], [2], [2, 1]]"
83,"[[2, 1], [1, 2], [1, 2], [5], [1, 1]]","[[1, 2], [4], [1], [3], [5]]"
84,"[[1, 1, 1], [1, 1], [2, 1], [3], [1, 1]]","[[2, 1], [3], [4], [1], [1, 1]]"
85,"[[2], [1], [2], [2], [2, 2]]","[[1, 1], [1], [1], [1, 3], [1, 1, 1]]"
86,"[[2], [2, 2], [2, 1], [3, 1], [2]]","[[3], [3], [2], [3, 1], [2, 1]]"
87,"[[2, 1], [5], [2], [3, 1], [1]]","[[2, 1], [2, 1], [4], [2], [2, 1]]"
88,"[[3], [2, 1], [2, 1], [1], [5]]","[[1, 1], [4], [2, 1], [1, 1], [3, 1]]"
89,"[[1, 1], [1, 1], [1, 1], [1], [1, 3]]","[[1, 1], [1, 1], [2], [1, 1, 1], [1, 1]]"
90,"[[1, 3], [5], [2, 1], [1], [1]]","[[2], [2, 1], [3], [2, 1], [3]]"
91,"[[1, 2], [1], [3, 1], [1], [1, 1]]","[[3, 1], [1], [1, 1], [1], [3]]"
92,"[[0], [1, 2], [1, 2], [2, 1], [1, 1]]","[[3], [2], [2], [4], [0]]"
93,"[[1, 1], [1, 3], [1, 3], [3, 1], [2, 1]]","[[4], [1, 2], [3], [2], [5]]"
94,"[[2], [1, 2], [1], [1, 3], [0]]","[[2, 1], [1], [1], [1, 1], [3]]"
95,"[[3], [2], [1, 2], [1], [2, 1]]","[[2, 1], [1, 2], [1], [1, 1], [1, 1, 1]]"
96,"[[1, 1], [2, 1], [2, 2], [1, 2], [1, 3]]","[[4], [3], [1], [1, 3], [4]]"
97,"[[1], [2], [3, 1], [1, 1, 1], [2]]","[[2], [1, 1], [3], [1], [4]]"
98,"[[1], [2], [1, 3], [1], [2, 2]]","[[1, 1, 1], [1, 2], [2], [1, 1], [1, 1]]"
99,"[[3, 1], [1, 2], [1, 1], [1], [1, 1]]","[[3, 1], [1], [3, 1], [1, 1], [1]]"
100,"[[1, 1], [1, 3], [1, 1], [1, 1], [2, 1]]","[[2, 1], [1, 2], [1], [3], [2, 1]]"
101,"[[1, 1], [1, 1], [1, 1], [1, 2], [4]]","[[4], [1, 1], [2, 1], [2], [1, 1]]"
102,"[[2], [4], [1, 1], [3], [1, 2]]","[[1, 1], [1, 1], [2, 2], [2, 2], [2]]"
103,"[[3], [0], [1, 1], [1], [1, 1, 1]]","[[1, 1], [1, 1], [1, 1], [1], [2]]"
104,"[[2, 2], [1, 1], [1, 1, 1], [5], [1, 1]]","[[1, 3], [2, 1], [2], [2, 1], [1, 3]]"
105,"[[2, 2], [2], [2, 1], [1], [1, 2]]","[[3], [3, 1], [0], [1, 1], [1, 3]]"
106,"[[1], [5], [1], [1, 1], [1]]","[[1, 1], [3], [1], [1], [1, 2]]"
107,"[[2, 2], [3, 1], [2], [1, 1], [4]]","[[2, 2], [3, 1], [2, 1], [1, 2], [2]]"
108,"[[2], [1, 3], [0], [1, 2], [2, 1]]","[[1, 1], [1, 2], [2], [1, 1], [1, 2]]"
109,"[[1], [2, 1], [2, 1], [1], [1, 1]]","[[1, 1], [3], [3], [0], [2]]"
110,"[[3, 1], [2, 1], [1, 1, 1], [0], [1, 1, 1]]","[[1, 1, 1], [2], [3, 1], [0], [3, 1]]"
111,"[[1, 1, 1], [1, 3], [2, 2], [1, 1], [1, 2]]","[[3], [3], [2], [4], [3, 1]]"
112,"[[4], [3, 1], [2, 2], [2, 1], [1, 2]]","[[4], [5], [2], [1, 3], [2, 1]]"
113,"[[3], [2, 1], [4], [1, 1], [3, 1]]","[[2, 2], [3, 1], [1, 3], [1], [2, 1]]"
114,"[[1], [1, 3], [1], [1, 1], [3]]","[[1, 1], [0], [1, 1], [2, 1], [2, 2]]"
115,"[[4], [0], [1], [1, 2], [3]]","[[1, 1], [1], [1, 3], [1, 2], [1]]"
116,"[[1], [3, 1], [0], [1, 1, 1], [1]]","[[2, 1], [1], [1, 1], [1], [1, 1]]"
117,"[[2], [1, 3], [1, 1], [2], [3, 1]]","[[2, 1], [1, 1, 1], [1, 2], [1, 1], [2, 1]]"
118,"[[2, 2], [2], [2], [3], [1, 1]]","[[1, 2], [2, 1], [4], [1, 1], [1]]"
119,"[[2], [1, 1], [2], [3, 1], [1]]","[[1, 2], [1], [1, 2], [3], [1]]"
120,"[[3], [5], [1], [2], [2]]","[[1, 2], [2, 2], [2], [2], [2]]"
121,"[[1, 1], [4], [5], [2], [1, 2]]","[[5], [3], [2], [2, 1], [1, 1, 1]]"
122,"[[2], [0], [3, 1], [2], [4]]","[[1, 1], [1, 1, 1], [1, 1], [2], [3]]"
123,"[[3, 1], [1, 2], [1, 2], [3, 1], [1, 1]]","[[1, 3], [2, 1], [1, 2], [2], [4]]"
124,"[[1, 1], [1, 1, 1], [1, 3], [1, 1], [2]]","[[3], [1], [4], [1, 1, 1], [2]]"
125,"[[1, 2], [2], [1], [1, 1], [2]]","[[1], [1, 1], [2], [1, 1], [3]]"
126,"[[2, 1], [1, 1, 1], [2, 2], [3], [1, 1]]","[[3], [1, 3], [1, 1], [2], [3, 1]]"
127,"[[1, 1], [1, 3], [4], [3], [2, 1]]","[[2], [1, 3], [4], [3], [2, 1]]"
128,"[[2], [2, 1], [4], [1, 1], [1, 3]]","[[4], [2], [3], [3, 1], [1, 1]]"
129,"[[1, 1], [1, 1], [1, 2], [1, 3], [2, 1]]","[[1, 2], [1], [4], [1, 2], [1, 2]]"
130,"[[3, 1], [5], [3], [1, 1], [2]]","[[3], [3, 1], [5], [1], [2, 1]]"
131,"[[2, 2], [1, 1], [1, 1], [2, 1], [1]]","[[2], [1, 1], [3], [1, 1], [1, 2]]"
132,"[[1, 1], [0], [4], [1, 1], [5]]","[[1, 2], [1, 1], [1, 3], [1, 1], [1, 1]]"
133,"[[3], [1, 2], [1, 2], [2, 1], [2, 1]]","[[1, 1], [1, 3], [1, 1], [3, 1], [3]]"
134,"[[1, 3], [2, 1], [2, 1], [5], [1, 2]]","[[4], [4], [1, 1], [1, 2], [5]]"
135,"[[4], [1, 2], [3], [1, 1], [1, 1]]","[[5], [1, 1], [1, 1], [2, 2], [1]]"
136,"[[4], [3, 1], [3], [1], [1, 1]]","[[2], [5], [3], [1], [2, 1]]"
137,"[[2], [3], [4], [1], [1]]","[[1, 1], [4], [2, 1], [2], [0]]"
138,"[[1, 1], [5], [1, 2], [1, 2], [1]]","[[2], [1, 2], [3], [3], [2, 1]]"
139,"[[1, 2], [4], [2], [1, 1], [0]]","[[4], [2], [1], [2], [1, 1]]"
140,"[[1, 2], [1, 3], [1], [3], [2]]","[[2, 1], [2], [2, 2], [3], [1]]"
141,"[[3], [5], [1, 1], [2], [1]]","[[2, 1], [1], [2, 1], [4], [2]]"
142,"[[1, 2], [1, 1], [3], [1], [1, 1]]","[[1, 1], [1], [1, 1], [5], [1]]"
143,"[[1], [1, 3], [2, 2], [2, 1], [1, 1, 1]]","[[3, 1], [2], [1, 2], [2], [4]]"
144,"[[1, 2], [2], [1, 1], [2, 2], [2, 2]]","[[3], [2, 2], [1], [1, 2], [1, 3]]"
145,"[[1, 1], [4], [2], [5], [1, 1]]","[[2], [2, 1], [1, 1], [3], [5]]"
146,"[[1, 1], [1], [2, 1], [0], [2, 1]]","[[1, 1], [3, 1], [0], [1, 1, 1], [0]]"
147,"[[0], [1], [2], [1], [2, 1]]","[[1], [1, 2], [0], [1], [1, 1]]"
148,"[[1, 1], [3], [1], [2], [1, 2]]","[[2], [4], [1], [1, 1], [1, 1]]"
149,"[[3], [2], [1], [1, 1, 1], [2]]","[[1], [1, 1], [2, 2], [1, 1], [1, 1]]"
150,"[[2, 1], [1, 1], [1, 1], [1, 1], [1, 1]]","[[1, 1], [4], [1], [2, 1], [1]]"
151,"[[1], [1, 2], [1, 1, 1], [3], [1]]","[[3], [1], [2], [1, 1], [2, 1]]"
152,"[[3], [2], [2, 1], [2], [2]]","[[1], [3], [3, 1], [2], [2]]"
153,"[[4], [1], [1, 1, 1], [2, 1], [1, 1, 1]]","[[1, 1, 1], [1, 1], [1, 3], [2], [3]]"
154,"[[4], [2], [2], [5], [2]]","[[1], [1, 1], [2, 2], [5], [1, 2]]"
155,"[[1, 1], [2], [4], [1, 1], [3]]","[[1, 1], [3], [2, 1], [1, 3], [1]]"
156,"[[1], [1, 1], [1, 1], [1, 2], [1, 3]]","[[1, 2], [0], [3], [1, 2], [2, 1]]"
157,"[[2, 1], [1], [1], [1, 2], [0]]","[[1], [2], [1, 2], [1], [1]]"
158,"[[3], [3], [1, 1], [0], [2]]","[[0], [1], [3], [2, 1], [2, 1]]"
159,"[[1, 1], [3], [2, 1], [5], [1, 1, 1]]","[[1, 3], [3], [2, 2], [1, 1], [3]]"
160,"[[1, 1, 1], [2, 1], [1, 1], [1, 2], [1, 1]]","[[5], [1], [1, 3], [1, 1], [1]]"
161,"[[1, 2], [3], [1], [2], [1, 2]]","[[1, 1], [2, 1], [1, 2], [2, 1], [1]]"
162,"[[2, 1], [4], [4], [1, 1, 1], [3]]","[[1, 3], [3, 1], [4], [3], [1, 1]]"
163,"[[2], [1], [3], [1, 1, 1], [1, 1]]","[[2], [1, 1], [2], [1], [2, 2]]"
164,"[[2], [2, 1], [1, 1], [2, 1], [1]]","[[1, 1], [3], [1], [5], [0]]"
165,"[[1], [3], [2], [1, 2], [2]]","[[1, 1, 1], [3], [1], [1, 1], [1, 1]]"
166,"[[2], [3], [1], [4], [1, 1]]","[[2, 2], [2, 1], [1, 2], [2], [0]]"
167,"[[1, 2], [1, 2], [1, 3], [1, 1, 1], [1, 1]]","[[4], [0], [4], [3], [1, 3]]"
168,"[[2, 1], [2], [2], [1, 1, 1], [1]]","[[1, 2], [1, 1], [1], [1, 1], [2, 1]]"
169,"[[2], [1], [1, 2], [2], [1]]","[[1], [0], [4], [1, 3], [0]]"
170,"[[0], [3], [1], [1, 2], [2]]","[[1, 1], [2, 1], [1, 1], [1], [1]]"
171,"[[1, 2], [3], [1, 2], [2, 2], [2, 1]]","[[1, 2], [3], [1], [4], [5]]"
172,"[[3], [3, 1], [1], [1, 1], [2]]","[[2, 1], [3], [2], [2], [1, 1]]"
173,"[[1, 2], [4], [3, 1], [3], [2, 2]]","[[1, 1, 1], [2, 1], [3], [2, 2], [5]]"
174,"[[1, 1, 1], [1, 1], [1, 1], [1, 1], [3]]","[[2], [1], [2, 2], [1], [1, 3]]"
175,"[[4], [3], [2, 1], [1, 3], [1, 1]]","[[2], [1, 1], [2, 2], [4], [2, 2]]"
176,"[[3], [2, 1], [1, 2], [2, 2], [2]]","[[1], [4], [2, 1], [1, 2], [4]]"
177,"[[1, 1], [3, 1], [1, 2], [1, 2], [2]]","[[3], [2], [4], [1, 3], [1]]"
178,"[[4], [5], [2, 1], [3], [1, 1]]","[[3], [5], [2, 1], [4], [1, 1]]"
179,"[[1, 1], [3], [2], [1, 1], [1, 3]]","[[2, 1], [2], [4], [1, 1], [2]]"
180,"[[2], [1], [0], [1, 2], [2, 1]]","[[2], [1, 1], [1, 1], [1], [1, 1]]"
181,"[[2], [3], [1, 1, 1], [2, 2], [4]]","[[2], [2], [2, 1], [2, 2], [5]]"
182,"[[1, 1], [1, 1], [1, 1], [5], [1]]","[[4], [2], [1], [3], [1, 1]]"
183,"[[2, 2], [3], [1, 1, 1], [3], [2, 1]]","[[3], [2, 1], [4], [1, 1], [1, 3]]"
184,"[[2], [3], [2, 1], [5], [1, 2]]","[[1, 3], [1, 2], [1, 2], [1, 2], [3]]"
185,"[[2, 1], [1, 1], [2], [1, 2], [1, 2]]","[[2, 1], [1, 2], [2, 1], [1, 2], [1]]"
186,"[[4], [2], [1, 1], [1, 1], [1]]","[[1, 2], [2], [2, 2], [1], [1]]"
187,"[[1, 1], [1, 2], [1], [2, 1], [1, 2]]","[[1, 1], [1, 3], [0], [2, 2], [1, 1]]"
188,"[[2, 2], [1, 2], [4], [1], [1, 1]]","[[1, 1, 1], [3], [1, 1], [3], [2, 1]]"
189,"[[1, 1], [1, 1], [2, 1], [5], [1, 1]]","[[1], [3], [1, 3], [1], [5]]"
190,"[[3], [4], [1, 2], [1, 1, 1], [1, 1]]","[[1, 2], [3], [2, 1], [3, 1], [2]]"
191,"[[2], [1, 1], [1, 3], [1], [2, 1]]","[[1, 1], [1], [3], [1, 2], [2, 1]]"
192,"[[3], [1, 2], [1, 2], [2, 1], [5]]","[[5], [1, 2], [1, 1, 1], [4], [1, 1]]"
193,"[[2, 1], [2, 1], [4], [2], [2]]","[[1, 1], [3, 1], [1, 1], [3], [1, 2]]"
194,"[[3], [1, 2], [1, 1], [1, 1], [2, 1]]","[[2], [1, 2], [1, 1, 1], [2], [1, 2]]"
195,"[[2, 1], [2], [1, 2], [1, 1], [3]]","[[1, 3], [1, 1], [1], [2], [4]]"
196,"[[2], [2, 1], [1, 1], [3, 1], [1, 1]]","[[1], [3], [2, 2], [1], [4]]"
197,"[[3, 1], [2], [1, 1], [2], [2, 2]]","[[1, 3], [1, 2], [3], [1, 1], [1, 1]]"
198,"[[1], [5], [1, 3], [2, 2], [3]]","[[3], [1, 2], [3, 1], [4], [3]]"
199,"[[1, 3], [1, 1, 1], [2, 1], [1, 1], [0]]","[[4], [1], [2, 1], [1], [3]]"
200,"[[1], [4], [2, 2], [2, 1], [1, 1, 1]]","[[2, 1], [4], [1, 2], [2], [3]]"
201,"[[2], [1], [1, 2], [5], [2, 2]]","[[5], [1, 2], [2], [3], [2]]"
202,"[[5], [1, 2], [2, 1], [4], [1, 3]]","[[3, 1], [1, 2], [1, 2], [5], [2, 2]]"
203,"[[3, 1], [1], [2, 1], [4], [4]]","[[1, 3], [1, 3], [1, 2], [3], [2]]"
204,"[[1], [5], [4], [1], [1, 2]]","[[1], [2, 1], [3], [2, 1], [4]]"
205,"[[0], [3], [4], [1], [1]]","[[1], [4], [2], [1], [1]]"
206,"[[1, 1], [5], [2], [1, 2], [2, 1]]","[[1, 1], [2, 2], [1], [3], [5]]"
207,"[[1], [1, 1], [2], [1, 1], [3, 1]]","[[3], [1, 1], [1, 1], [0], [2, 2]]"
208,"[[1], [2], [4], [1, 2], [0]]","[[0], [2], [2], [3], [1, 2]]"
209,"[[3], [1, 2], [2, 2], [1, 1], [3]]","[[3], [1], [1, 2], [3, 1], [3, 1]]"
210,"[[2], [2, 1], [2, 1], [3], [3]]","[[1], [3, 1], [1, 3], [2], [3]]"
211,"[[3], [2, 1], [2, 1], [1], [1]]","[[1], [2], [2], [1], [5]]"
212,"[[0], [1, 1], [2], [1, 2], [3]]","[[3], [1], [2], [1, 2], [1]]"
213,"[[1, 1], [1], [1], [4], [1, 3]]","[[1, 2], [1], [2], [3], [2, 1]]"
214,"[[2], [1], [1, 1, 1], [2, 2], [2, 1]]","[[1, 3], [1, 2], [1], [1], [4]]"
215,"[[2], [1], [1, 1], [3], [1, 1]]","[[1, 1, 1], [1, 1], [1], [2], [2]]"
216,"[[2], [1, 3], [1, 1], [4], [1, 3]]","[[1, 2], [1, 2], [2, 2], [1, 2], [2, 1]]"
217,"[[2], [2, 1], [1, 2], [3], [2, 1]]","[[1], [4], [1, 1], [1, 3], [3]]"
218,"[[1, 1], [1, 1], [2], [4], [1, 1]]","[[2], [1, 1], [4], [2], [2]]"
219,"[[1, 2], [2, 2], [2], [1, 1, 1], [1, 2]]","[[5], [2], [2], [2, 1], [2, 1]]"
220,"[[4], [4], [3, 1], [2, 1], [1, 3]]","[[1, 3], [4], [3, 1], [2, 2], [2, 1]]"
221,"[[1, 1], [1, 1], [3], [1, 3], [1]]","[[2, 1], [1], [4], [3], [1]]"
222,"[[3], [5], [1, 2], [1, 1], [4]]","[[2, 1], [1, 2], [2, 1], [5], [3]]"
223,"[[1], [1, 1], [1], [2, 1], [3]]","[[0], [5], [2], [1, 1], [1]]"
224,"[[1, 1, 1], [2], [4], [1], [3]]","[[3], [2], [1, 1, 1], [1, 1], [1, 2]]"
225,"[[5], [3], [2], [1], [1, 2]]","[[2], [2, 2], [3], [1, 1, 1], [1, 1]]"
226,"[[1], [1], [3], [2], [1]]","[[2, 1], [1], [1, 2], [1], [0]]"
227,"[[1, 1], [2, 1], [3], [3, 1], [1]]","[[2], [3], [5], [0], [2, 1]]"
228,"[[3], [1, 1, 1], [1, 3], [0], [1, 1, 1]]","[[3, 1], [1], [3, 1], [1], [2, 1]]"
229,"[[1, 1], [1, 2], [2, 1], [5], [3]]","[[1, 3], [4], [1, 2], [1, 1], [3]]"
230,"[[0], [2], [3], [1], [1, 3]]","[[1], [2], [1, 1], [2, 1], [1, 1]]"
231,"[[2], [1, 1], [3, 1], [1, 2], [3]]","[[4], [1, 1, 1], [1, 3], [1], [2]]"
232,"[[1], [1], [2, 2], [2], [2]]","[[1], [1], [1, 1], [1, 3], [1, 1]]"
233,"[[3], [2], [3], [2, 1], [1, 1]]","[[1], [1, 1], [1, 3], [1, 1], [1, 3]]"
234,"[[1], [1], [1, 3], [2, 1], [2]]","[[1], [1, 1], [2], [1, 1, 1], [3]]"
235,"[[4], [1, 1], [5], [3], [1]]","[[1], [4], [1, 2], [5], [1, 1]]"
236,"[[1, 1], [1, 1], [1, 3], [2, 2], [1]]","[[3], [1, 1], [2, 1], [1, 2], [2]]"
237,"[[2, 1], [1, 1], [3], [1], [1, 2]]","[[1], [2, 1], [1, 1, 1], [2, 1], [1, 1]]"
238,"[[1, 1], [1, 1, 1], [4], [1], [1, 1]]","[[2, 1], [1, 1], [2], [1], [3, 1]]"
239,"[[2], [1], [1], [2], [3]]","[[1, 2], [2], [1, 1, 1], [1], [0]]"
240,"[[2], [2, 1], [1, 1, 1], [1], [2, 1]]","[[2, 1], [1, 2], [1], [1], [3, 1]]"
241,"[[4], [1], [1, 1], [1, 1], [1, 2]]","[[1, 1], [1], [1, 2], [1, 1, 1], [2, 1]]"
242,"[[1, 1], [1, 1], [1, 1], [5], [1, 2]]","[[1, 1], [1, 3], [1], [4], [1, 2]]"
243,"[[3], [1, 1], [1, 1], [2, 2], [1]]","[[2], [2, 2], [1], [4], [1]]"
244,"[[1, 2], [3], [1, 2], [3, 1], [2]]","[[1, 1], [3], [2, 2], [3, 1], [2]]"
245,"[[2], [3], [1, 2], [2, 1], [1, 1, 1]]","[[1, 2], [3], [1, 1], [1, 2], [1, 1, 1]]"
246,"[[4], [1, 2], [1], [2, 2], [1]]","[[1], [2, 1], [1], [2, 2], [4]]"
247,"[[4], [3], [1, 1], [1], [4]]","[[1, 1, 1], [1, 1], [5], [2, 1], [1]]"
248,"[[1, 1], [1, 2], [2], [2], [1, 3]]","[[1, 2], [1, 2], [2, 1], [2, 1], [1]]"
249,"[[1], [5], [1, 2], [1, 2], [3]]","[[3], [1], [1, 1], [5], [4]]"
