puzzle_number,type,hints
37,row,"[[1, 1], [0], [2], [1, 1, 1], [5]]"
37,col,"[[1, 2], [1, 1], [1, 3], [1], [2]]"
38,row,"[[1, 1], [0], [2], [1, 1, 1], [5]]"
38,col,"[[1, 2], [1, 1], [1, 3], [1], [2]]"
39,row,"[[1, 1], [0], [2], [1, 1, 1], [5]]"
39,col,"[[1, 2], [1, 1], [1, 3], [1], [2]]"
40,row,"[[1, 1], [0], [2], [1, 1, 1], [5]]"
40,col,"[[1, 2], [1, 1], [1, 3], [1], [2]]"
41,row,"[[1, 1], [0], [2], [1, 1, 1], [5]]"
41,col,"[[1, 2], [1, 1], [1, 3], [1], [2]]"
42,row,"[[1, 1], [0], [2], [1, 1, 1], [5]]"
42,col,"[[1, 2], [1, 1], [1, 3], [1], [2]]"
43,row,"[[1, 1], [1, 1], [2], [2, 1], [1]]"
43,col,"[[2, 1], [1], [2], [1, 2], [1]]"
44,row,"[[1, 1], [1, 1], [2], [2, 1], [1]]"
44,col,"[[2, 1], [1], [2], [1, 2], [1]]"
45,row,"[[1, 1], [1, 1], [2], [2, 1], [1]]"
45,col,"[[2, 1], [1], [2], [1, 2], [1]]"
46,row,"[[1, 1], [1, 1], [2], [2, 1], [1]]"
46,col,"[[2, 1], [1], [2], [1, 2], [1]]"
47,row,"[[1, 1], [1, 1], [2], [2, 1], [1]]"
47,col,"[[2, 1], [1], [2], [1, 2], [1]]"
48,row,"[[1, 1], [1, 1], [2], [2, 1], [1]]"
48,col,"[[2, 1], [1], [2], [1, 2], [1]]"
49,row,"[[1, 2], [0], [2, 1], [2, 1], [1, 1]]"
49,col,"[[1, 1, 1], [2], [1, 1], [1], [3]]"
50,row,"[[1, 2], [0], [2, 1], [2, 1], [1, 1]]"
50,col,"[[1, 1, 1], [2], [1, 1], [1], [3]]"
51,row,"[[1, 2], [0], [2, 1], [2, 1], [1, 1]]"
51,col,"[[1, 1, 1], [2], [1, 1], [1], [3]]"
52,row,"[[1, 2], [0], [2, 1], [2, 1], [1, 1]]"
52,col,"[[1, 1, 1], [2], [1, 1], [1], [3]]"
53,row,"[[1, 2], [0], [2, 1], [2, 1], [1, 1]]"
53,col,"[[1, 1, 1], [2], [1, 1], [1], [3]]"
54,row,"[[1, 2], [0], [2, 1], [2, 1], [1, 1]]"
54,col,"[[1, 1, 1], [2], [1, 1], [1], [3]]"
55,row,"[[1, 3], [1, 3], [3], [1, 2], [2]]"
55,col,"[[2, 2], [1, 1], [3], [4], [2, 1]]"
56,row,"[[1, 3], [1, 3], [3], [1, 2], [2]]"
56,col,"[[2, 2], [1, 1], [3], [4], [2, 1]]"
57,row,"[[1, 3], [1, 3], [3], [1, 2], [2]]"
57,col,"[[2, 2], [1, 1], [3], [4], [2, 1]]"
58,row,"[[1, 3], [1, 3], [3], [1, 2], [2]]"
58,col,"[[2, 2], [1, 1], [3], [4], [2, 1]]"
59,row,"[[1, 3], [1, 3], [3], [1, 2], [2]]"
59,col,"[[2, 2], [1, 1], [3], [4], [2, 1]]"
60,row,"[[1, 3], [1, 3], [3], [1, 2], [2]]"
60,col,"[[2, 2], [1, 1], [3], [4], [2, 1]]"
61,row,"[[2, 2], [2], [1], [1, 1], [1, 2]]"
61,col,"[[1, 2], [1], [0], [2, 2], [3, 1]]"
62,row,"[[2, 2], [2], [1], [1, 1], [1, 2]]"
62,col,"[[1, 2], [1], [0], [2, 2], [3, 1]]"
63,row,"[[2, 2], [2], [1], [1, 1], [1, 2]]"
63,col,"[[1, 2], [1], [0], [2, 2], [3, 1]]"
64,row,"[[2, 2], [2], [1], [1, 1], [1, 2]]"
64,col,"[[1, 2], [1], [0], [2, 2], [3, 1]]"
65,row,"[[2, 2], [2], [1], [1, 1], [1, 2]]"
65,col,"[[1, 2], [1], [0], [2, 2], [3, 1]]"
66,row,"[[2, 2], [2], [1], [1, 1], [1, 2]]"
66,col,"[[1, 2], [1], [0], [2, 2], [3, 1]]"
67,row,"[[4], [3], [2, 1], [2, 2], [1, 1]]"
67,col,"[[2], [1, 2], [2, 1], [2, 1], [5]]"
68,row,"[[4], [3], [2, 1], [2, 2], [1, 1]]"
68,col,"[[2], [1, 2], [2, 1], [2, 1], [5]]"
69,row,"[[4], [3], [2, 1], [2, 2], [1, 1]]"
69,col,"[[2], [1, 2], [2, 1], [2, 1], [5]]"
70,row,"[[4], [3], [2, 1], [2, 2], [1, 1]]"
70,col,"[[2], [1, 2], [2, 1], [2, 1], [5]]"
71,row,"[[4], [3], [2, 1], [2, 2], [1, 1]]"
71,col,"[[2], [1, 2], [2, 1], [2, 1], [5]]"
72,row,"[[4], [3], [2, 1], [2, 2], [1, 1]]"
72,col,"[[2], [1, 2], [2, 1], [2, 1], [5]]"
73,row,"[[0], [3], [1, 1], [2], [2, 2]]"
73,col,"[[3], [2], [2], [1, 1], [1, 1]]"
74,row,"[[0], [3], [1, 1], [2], [2, 2]]"
74,col,"[[3], [2], [2], [1, 1], [1, 1]]"
75,row,"[[0], [3], [1, 1], [2], [2, 2]]"
75,col,"[[3], [2], [2], [1, 1], [1, 1]]"
76,row,"[[0], [3], [1, 1], [2], [2, 2]]"
76,col,"[[3], [2], [2], [1, 1], [1, 1]]"
77,row,"[[0], [3], [1, 1], [2], [2, 2]]"
77,col,"[[3], [2], [2], [1, 1], [1, 1]]"
78,row,"[[0], [3], [1, 1], [2], [2, 2]]"
78,col,"[[3], [2], [2], [1, 1], [1, 1]]"
79,row,"[[1], [2], [0], [2, 1], [2]]"
79,col,"[[1], [1], [1, 1], [2, 1], [1]]"
80,row,"[[1], [2], [0], [2, 1], [2]]"
80,col,"[[1], [1], [1, 1], [2, 1], [1]]"
81,row,"[[1], [2], [0], [2, 1], [2]]"
81,col,"[[1], [1], [1, 1], [2, 1], [1]]"
82,row,"[[1], [2], [0], [2, 1], [2]]"
82,col,"[[1], [1], [1, 1], [2, 1], [1]]"
83,row,"[[1], [2], [0], [2, 1], [2]]"
83,col,"[[1], [1], [1, 1], [2, 1], [1]]"
84,row,"[[1], [2], [0], [2, 1], [2]]"
84,col,"[[1], [1], [1, 1], [2, 1], [1]]"
85,row,"[[1, 1, 1], [1], [3], [1], [1, 1]]"
85,col,"[[1, 2], [1, 1], [1, 1], [0], [2, 1]]"
86,row,"[[1, 1, 1], [1], [3], [1], [1, 1]]"
86,col,"[[1, 2], [1, 1], [1, 1], [0], [2, 1]]"
87,row,"[[1, 1, 1], [1], [3], [1], [1, 1]]"
87,col,"[[1, 2], [1, 1], [1, 1], [0], [2, 1]]"
88,row,"[[1, 1, 1], [1], [3], [1], [1, 1]]"
88,col,"[[1, 2], [1, 1], [1, 1], [0], [2, 1]]"
89,row,"[[1, 1, 1], [1], [3], [1], [1, 1]]"
89,col,"[[1, 2], [1, 1], [1, 1], [0], [2, 1]]"
90,row,"[[1, 1, 1], [1], [3], [1], [1, 1]]"
90,col,"[[1, 2], [1, 1], [1, 1], [0], [2, 1]]"
91,row,"[[1, 1], [2], [3], [5], [2, 1]]"
91,col,"[[2], [1, 3], [3], [1, 1], [2, 2]]"
92,row,"[[1, 1], [2], [3], [5], [2, 1]]"
92,col,"[[2], [1, 3], [3], [1, 1], [2, 2]]"
93,row,"[[1, 1], [2], [3], [5], [2, 1]]"
93,col,"[[2], [1, 3], [3], [1, 1], [2, 2]]"
94,row,"[[1, 1], [2], [3], [5], [2, 1]]"
94,col,"[[2], [1, 3], [3], [1, 1], [2, 2]]"
95,row,"[[1, 1], [2], [3], [5], [2, 1]]"
95,col,"[[2], [1, 3], [3], [1, 1], [2, 2]]"
96,row,"[[1, 1], [2], [3], [5], [2, 1]]"
96,col,"[[2], [1, 3], [3], [1, 1], [2, 2]]"
97,row,"[[0], [2, 1], [2], [2, 1], [3]]"
97,col,"[[1, 1], [1, 2], [1, 1], [3], [1]]"
98,row,"[[0], [2, 1], [2], [2, 1], [3]]"
98,col,"[[1, 1], [1, 2], [1, 1], [3], [1]]"
99,row,"[[0], [2, 1], [2], [2, 1], [3]]"
99,col,"[[1, 1], [1, 2], [1, 1], [3], [1]]"
100,row,"[[0], [2, 1], [2], [2, 1], [3]]"
100,col,"[[1, 1], [1, 2], [1, 1], [3], [1]]"
101,row,"[[0], [2, 1], [2], [2, 1], [3]]"
101,col,"[[1, 1], [1, 2], [1, 1], [3], [1]]"
102,row,"[[0], [2, 1], [2], [2, 1], [3]]"
102,col,"[[1, 1], [1, 2], [1, 1], [3], [1]]"
103,row,"[[1], [2], [1, 2], [1, 1], [0]]"
103,col,"[[0], [1, 2], [1], [3], [1]]"
104,row,"[[1], [2], [1, 2], [1, 1], [0]]"
104,col,"[[0], [1, 2], [1], [3], [1]]"
105,row,"[[1], [2], [1, 2], [1, 1], [0]]"
105,col,"[[0], [1, 2], [1], [3], [1]]"
106,row,"[[1], [2], [1, 2], [1, 1], [0]]"
106,col,"[[0], [1, 2], [1], [3], [1]]"
107,row,"[[1], [2], [1, 2], [1, 1], [0]]"
107,col,"[[0], [1, 2], [1], [3], [1]]"
108,row,"[[1], [2], [1, 2], [1, 1], [0]]"
108,col,"[[0], [1, 2], [1], [3], [1]]"
109,row,"[[1, 3], [3], [2], [2], [2]]"
109,col,"[[1, 1], [2, 1], [2, 2], [2, 1], [1]]"
110,row,"[[1, 3], [3], [2], [2], [2]]"
110,col,"[[1, 1], [2, 1], [2, 2], [2, 1], [1]]"
111,row,"[[1, 3], [3], [2], [2], [2]]"
111,col,"[[1, 1], [2, 1], [2, 2], [2, 1], [1]]"
112,row,"[[1, 3], [3], [2], [2], [2]]"
112,col,"[[1, 1], [2, 1], [2, 2], [2, 1], [1]]"
113,row,"[[1, 3], [3], [2], [2], [2]]"
113,col,"[[1, 1], [2, 1], [2, 2], [2, 1], [1]]"
114,row,"[[1, 3], [3], [2], [2], [2]]"
114,col,"[[1, 1], [2, 1], [2, 2], [2, 1], [1]]"
115,row,"[[1], [3], [1, 1], [3], [3]]"
115,col,"[[2], [1, 2], [4], [1, 2], [0]]"
116,row,"[[1], [3], [1, 1], [3], [3]]"
116,col,"[[2], [1, 2], [4], [1, 2], [0]]"
117,row,"[[1], [3], [1, 1], [3], [3]]"
117,col,"[[2], [1, 2], [4], [1, 2], [0]]"
118,row,"[[1], [3], [1, 1], [3], [3]]"
118,col,"[[2], [1, 2], [4], [1, 2], [0]]"
119,row,"[[1], [3], [1, 1], [3], [3]]"
119,col,"[[2], [1, 2], [4], [1, 2], [0]]"
120,row,"[[1], [3], [1, 1], [3], [3]]"
120,col,"[[2], [1, 2], [4], [1, 2], [0]]"
121,row,"[[3], [2], [3], [2], [2]]"
121,col,"[[1, 1], [1, 1], [5], [1, 2], [0]]"
122,row,"[[3], [2], [3], [2], [2]]"
122,col,"[[1, 1], [1, 1], [5], [1, 2], [0]]"
123,row,"[[3], [2], [3], [2], [2]]"
123,col,"[[1, 1], [1, 1], [5], [1, 2], [0]]"
124,row,"[[3], [2], [3], [2], [2]]"
124,col,"[[1, 1], [1, 1], [5], [1, 2], [0]]"
125,row,"[[3], [2], [3], [2], [2]]"
125,col,"[[1, 1], [1, 1], [5], [1, 2], [0]]"
126,row,"[[3], [2], [3], [2], [2]]"
126,col,"[[1, 1], [1, 1], [5], [1, 2], [0]]"
127,row,"[[2, 1], [1], [2], [3], [2]]"
127,col,"[[1, 1], [1, 2], [3], [2, 1], [0]]"
128,row,"[[2, 1], [1], [2], [3], [2]]"
128,col,"[[1, 1], [1, 2], [3], [2, 1], [0]]"
129,row,"[[2, 1], [1], [2], [3], [2]]"
129,col,"[[1, 1], [1, 2], [3], [2, 1], [0]]"
130,row,"[[2, 1], [1], [2], [3], [2]]"
130,col,"[[1, 1], [1, 2], [3], [2, 1], [0]]"
131,row,"[[2, 1], [1], [2], [3], [2]]"
131,col,"[[1, 1], [1, 2], [3], [2, 1], [0]]"
132,row,"[[2, 1], [1], [2], [3], [2]]"
132,col,"[[1, 1], [1, 2], [3], [2, 1], [0]]"
133,row,"[[1, 1], [4], [3], [1, 1], [3]]"
133,col,"[[0], [2, 1], [2, 1], [4], [3, 1]]"
134,row,"[[1, 1], [4], [3], [1, 1], [3]]"
134,col,"[[0], [2, 1], [2, 1], [4], [3, 1]]"
135,row,"[[1, 1], [4], [3], [1, 1], [3]]"
135,col,"[[0], [2, 1], [2, 1], [4], [3, 1]]"
136,row,"[[1, 1], [4], [3], [1, 1], [3]]"
136,col,"[[0], [2, 1], [2, 1], [4], [3, 1]]"
137,row,"[[1, 1], [4], [3], [1, 1], [3]]"
137,col,"[[0], [2, 1], [2, 1], [4], [3, 1]]"
138,row,"[[1, 1], [4], [3], [1, 1], [3]]"
138,col,"[[0], [2, 1], [2, 1], [4], [3, 1]]"
139,row,"[[3, 1], [1, 2], [1, 2], [1], [1, 1]]"
139,col,"[[2], [1, 1], [1, 1], [2], [5]]"
140,row,"[[3, 1], [1, 2], [1, 2], [1], [1, 1]]"
140,col,"[[2], [1, 1], [1, 1], [2], [5]]"
141,row,"[[3, 1], [1, 2], [1, 2], [1], [1, 1]]"
141,col,"[[2], [1, 1], [1, 1], [2], [5]]"
142,row,"[[3, 1], [1, 2], [1, 2], [1], [1, 1]]"
142,col,"[[2], [1, 1], [1, 1], [2], [5]]"
143,row,"[[3, 1], [1, 2], [1, 2], [1], [1, 1]]"
143,col,"[[2], [1, 1], [1, 1], [2], [5]]"
144,row,"[[3, 1], [1, 2], [1, 2], [1], [1, 1]]"
144,col,"[[2], [1, 1], [1, 1], [2], [5]]"
145,row,"[[1], [1], [2, 2], [2, 2], [1, 2]]"
145,col,"[[1, 3], [2], [1, 1], [3], [2]]"
146,row,"[[1], [1], [2, 2], [2, 2], [1, 2]]"
146,col,"[[1, 3], [2], [1, 1], [3], [2]]"
147,row,"[[1], [1], [2, 2], [2, 2], [1, 2]]"
147,col,"[[1, 3], [2], [1, 1], [3], [2]]"
148,row,"[[1], [1], [2, 2], [2, 2], [1, 2]]"
148,col,"[[1, 3], [2], [1, 1], [3], [2]]"
149,row,"[[1], [1], [2, 2], [2, 2], [1, 2]]"
149,col,"[[1, 3], [2], [1, 1], [3], [2]]"
150,row,"[[1], [1], [2, 2], [2, 2], [1, 2]]"
150,col,"[[1, 3], [2], [1, 1], [3], [2]]"
151,row,"[[5], [1, 2], [1, 1], [1, 1], [1]]"
151,col,"[[3], [1], [2, 2], [2], [1, 2]]"
152,row,"[[5], [1, 2], [1, 1], [1, 1], [1]]"
152,col,"[[3], [1], [2, 2], [2], [1, 2]]"
153,row,"[[5], [1, 2], [1, 1], [1, 1], [1]]"
153,col,"[[3], [1], [2, 2], [2], [1, 2]]"
154,row,"[[5], [1, 2], [1, 1], [1, 1], [1]]"
154,col,"[[3], [1], [2, 2], [2], [1, 2]]"
155,row,"[[5], [1, 2], [1, 1], [1, 1], [1]]"
155,col,"[[3], [1], [2, 2], [2], [1, 2]]"
156,row,"[[5], [1, 2], [1, 1], [1, 1], [1]]"
156,col,"[[3], [1], [2, 2], [2], [1, 2]]"
157,row,"[[3], [2, 1], [1, 1], [3, 1], [2]]"
157,col,"[[3], [1, 2], [2, 1], [1], [4]]"
158,row,"[[3], [2, 1], [1, 1], [3, 1], [2]]"
158,col,"[[3], [1, 2], [2, 1], [1], [4]]"
159,row,"[[3], [2, 1], [1, 1], [3, 1], [2]]"
159,col,"[[3], [1, 2], [2, 1], [1], [4]]"
160,row,"[[3], [2, 1], [1, 1], [3, 1], [2]]"
160,col,"[[3], [1, 2], [2, 1], [1], [4]]"
161,row,"[[3], [2, 1], [1, 1], [3, 1], [2]]"
161,col,"[[3], [1, 2], [2, 1], [1], [4]]"
162,row,"[[3], [2, 1], [1, 1], [3, 1], [2]]"
162,col,"[[3], [1, 2], [2, 1], [1], [4]]"
163,row,"[[2], [2, 1], [4], [3], [1]]"
163,col,"[[4], [3], [2], [3], [1]]"
164,row,"[[2], [2, 1], [4], [3], [1]]"
164,col,"[[4], [3], [2], [3], [1]]"
165,row,"[[2], [2, 1], [4], [3], [1]]"
165,col,"[[4], [3], [2], [3], [1]]"
166,row,"[[2], [2, 1], [4], [3], [1]]"
166,col,"[[4], [3], [2], [3], [1]]"
167,row,"[[2], [2, 1], [4], [3], [1]]"
167,col,"[[4], [3], [2], [3], [1]]"
168,row,"[[2], [2, 1], [4], [3], [1]]"
168,col,"[[4], [3], [2], [3], [1]]"
169,row,"[[1, 2], [2], [1, 3], [3], [4]]"
169,col,"[[1], [1, 1], [4], [5], [1, 3]]"
170,row,"[[1, 2], [2], [1, 3], [3], [4]]"
170,col,"[[1], [1, 1], [4], [5], [1, 3]]"
171,row,"[[1, 2], [2], [1, 3], [3], [4]]"
171,col,"[[1], [1, 1], [4], [5], [1, 3]]"
172,row,"[[1, 2], [2], [1, 3], [3], [4]]"
172,col,"[[1], [1, 1], [4], [5], [1, 3]]"
173,row,"[[1, 2], [2], [1, 3], [3], [4]]"
173,col,"[[1], [1, 1], [4], [5], [1, 3]]"
174,row,"[[1, 2], [2], [1, 3], [3], [4]]"
174,col,"[[1], [1, 1], [4], [5], [1, 3]]"
175,row,"[[3], [1, 2], [2], [2], [0]]"
175,col,"[[1], [1, 1], [4], [2, 1], [0]]"
176,row,"[[3], [1, 2], [2], [2], [0]]"
176,col,"[[1], [1, 1], [4], [2, 1], [0]]"
177,row,"[[3], [1, 2], [2], [2], [0]]"
177,col,"[[1], [1, 1], [4], [2, 1], [0]]"
178,row,"[[3], [1, 2], [2], [2], [0]]"
178,col,"[[1], [1, 1], [4], [2, 1], [0]]"
179,row,"[[3], [1, 2], [2], [2], [0]]"
179,col,"[[1], [1, 1], [4], [2, 1], [0]]"
180,row,"[[3], [1, 2], [2], [2], [0]]"
180,col,"[[1], [1, 1], [4], [2, 1], [0]]"
181,row,"[[1, 2], [1], [1, 2], [1, 1], [0]]"
181,col,"[[1, 2], [0], [1], [1, 1], [1, 2]]"
182,row,"[[1, 2], [1], [1, 2], [1, 1], [0]]"
182,col,"[[1, 2], [0], [1], [1, 1], [1, 2]]"
183,row,"[[1, 2], [1], [1, 2], [1, 1], [0]]"
183,col,"[[1, 2], [0], [1], [1, 1], [1, 2]]"
184,row,"[[1, 2], [1], [1, 2], [1, 1], [0]]"
184,col,"[[1, 2], [0], [1], [1, 1], [1, 2]]"
185,row,"[[1, 2], [1], [1, 2], [1, 1], [0]]"
185,col,"[[1, 2], [0], [1], [1, 1], [1, 2]]"
186,row,"[[1, 2], [1], [1, 2], [1, 1], [0]]"
186,col,"[[1, 2], [0], [1], [1, 1], [1, 2]]"
187,row,"[[2], [1, 1], [1], [4], [1, 2]]"
187,col,"[[1, 2], [4], [2], [1, 2], [0]]"
188,row,"[[2], [1, 1], [1], [4], [1, 2]]"
188,col,"[[1, 2], [4], [2], [1, 2], [0]]"
189,row,"[[2], [1, 1], [1], [4], [1, 2]]"
189,col,"[[1, 2], [4], [2], [1, 2], [0]]"
190,row,"[[2], [1, 1], [1], [4], [1, 2]]"
190,col,"[[1, 2], [4], [2], [1, 2], [0]]"
191,row,"[[2], [1, 1], [1], [4], [1, 2]]"
191,col,"[[1, 2], [4], [2], [1, 2], [0]]"
192,row,"[[2], [1, 1], [1], [4], [1, 2]]"
192,col,"[[1, 2], [4], [2], [1, 2], [0]]"
193,row,"[[1, 2], [2, 1], [4], [4], [4]]"
193,col,"[[1], [5], [3], [5], [1, 3]]"
194,row,"[[1, 2], [2, 1], [4], [4], [4]]"
194,col,"[[1], [5], [3], [5], [1, 3]]"
195,row,"[[1, 2], [2, 1], [4], [4], [4]]"
195,col,"[[1], [5], [3], [5], [1, 3]]"
196,row,"[[1, 2], [2, 1], [4], [4], [4]]"
196,col,"[[1], [5], [3], [5], [1, 3]]"
197,row,"[[1, 2], [2, 1], [4], [4], [4]]"
197,col,"[[1], [5], [3], [5], [1, 3]]"
198,row,"[[1, 2], [2, 1], [4], [4], [4]]"
198,col,"[[1], [5], [3], [5], [1, 3]]"
199,row,"[[1], [1], [5], [1, 1], [3]]"
199,col,"[[2], [1], [2, 1], [3], [1, 1, 1]]"
200,row,"[[1], [1], [5], [1, 1], [3]]"
200,col,"[[2], [1], [2, 1], [3], [1, 1, 1]]"
201,row,"[[1], [1], [5], [1, 1], [3]]"
201,col,"[[2], [1], [2, 1], [3], [1, 1, 1]]"
202,row,"[[1], [1], [5], [1, 1], [3]]"
202,col,"[[2], [1], [2, 1], [3], [1, 1, 1]]"
203,row,"[[1], [1], [5], [1, 1], [3]]"
203,col,"[[2], [1], [2, 1], [3], [1, 1, 1]]"
204,row,"[[1], [1], [5], [1, 1], [3]]"
204,col,"[[2], [1], [2, 1], [3], [1, 1, 1]]"
205,row,"[[2, 1], [2], [1], [1, 1], [4]]"
205,col,"[[1, 1, 1], [1, 1], [1, 2], [2, 1], [1]]"
206,row,"[[2, 1], [2], [1], [1, 1], [4]]"
206,col,"[[1, 1, 1], [1, 1], [1, 2], [2, 1], [1]]"
207,row,"[[2, 1], [2], [1], [1, 1], [4]]"
207,col,"[[1, 1, 1], [1, 1], [1, 2], [2, 1], [1]]"
208,row,"[[2, 1], [2], [1], [1, 1], [4]]"
208,col,"[[1, 1, 1], [1, 1], [1, 2], [2, 1], [1]]"
209,row,"[[2, 1], [2], [1], [1, 1], [4]]"
209,col,"[[1, 1, 1], [1, 1], [1, 2], [2, 1], [1]]"
210,row,"[[2, 1], [2], [1], [1, 1], [4]]"
210,col,"[[1, 1, 1], [1, 1], [1, 2], [2, 1], [1]]"
211,row,"[[2], [2], [4], [1, 2], [1, 3]]"
211,col,"[[1, 1], [4], [1, 1, 1], [3], [3]]"
212,row,"[[2], [2], [4], [1, 2], [1, 3]]"
212,col,"[[1, 1], [4], [1, 1, 1], [3], [3]]"
213,row,"[[2], [2], [4], [1, 2], [1, 3]]"
213,col,"[[1, 1], [4], [1, 1, 1], [3], [3]]"
214,row,"[[2], [2], [4], [1, 2], [1, 3]]"
214,col,"[[1, 1], [4], [1, 1, 1], [3], [3]]"
215,row,"[[2], [2], [4], [1, 2], [1, 3]]"
215,col,"[[1, 1], [4], [1, 1, 1], [3], [3]]"
216,row,"[[2], [2], [4], [1, 2], [1, 3]]"
216,col,"[[1, 1], [4], [1, 1, 1], [3], [3]]"
217,row,"[[5], [1, 1], [1, 1], [1, 1, 1], [3, 1]]"
217,col,"[[2, 2], [1, 1], [5], [1], [1, 3]]"
218,row,"[[5], [1, 1], [1, 1], [1, 1, 1], [3, 1]]"
218,col,"[[2, 2], [1, 1], [5], [1], [1, 3]]"
219,row,"[[5], [1, 1], [1, 1], [1, 1, 1], [3, 1]]"
219,col,"[[2, 2], [1, 1], [5], [1], [1, 3]]"
220,row,"[[5], [1, 1], [1, 1], [1, 1, 1], [3, 1]]"
220,col,"[[2, 2], [1, 1], [5], [1], [1, 3]]"
221,row,"[[5], [1, 1], [1, 1], [1, 1, 1], [3, 1]]"
221,col,"[[2, 2], [1, 1], [5], [1], [1, 3]]"
222,row,"[[5], [1, 1], [1, 1], [1, 1, 1], [3, 1]]"
222,col,"[[2, 2], [1, 1], [5], [1], [1, 3]]"
223,row,"[[0], [1], [3, 1], [4], [2, 1]]"
223,col,"[[1, 1], [3], [3], [1], [3]]"
224,row,"[[0], [1], [3, 1], [4], [2, 1]]"
